,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,rollavg_PE,grad_PE,rollavg_GR,grad_GR,rollavg_PHIND,grad_PHIND,rollavg_ILD_log10,grad_ILD_log10,rollavg_DeltaPHI,grad_DeltaPHI,Facies
0,A1 SH,STUART,2808.0,66.27600000000001,0.63,3.3,10.65,3.591,1,1.0,3.1542,-0.25,78.6464,10.975999999999985,12.515000000000002,1.299999999999999,0.6315000000000001,-0.04500000000000004,7.110000000000001,3.2,2
1,A1 SH,STUART,2808.5,77.252,0.585,6.5,11.95,3.341,1,0.978,3.1542,-0.25,78.6464,10.975999999999985,12.515000000000002,1.299999999999999,0.6315000000000001,-0.04500000000000004,7.110000000000001,3.2,2
2,A1 SH,STUART,2809.0,82.899,0.5660000000000001,9.4,13.6,3.0639999999999996,1,0.956,3.1542,-0.2770000000000006,78.6464,5.647000000000006,12.515000000000002,1.6500000000000004,0.6315000000000001,-0.018999999999999906,7.110000000000001,2.9000000000000004,2
3,A1 SH,STUART,2809.5,80.671,0.593,9.5,13.25,2.977,1,0.9329999999999999,3.1542,-0.08699999999999974,78.6464,-2.2279999999999944,12.515000000000002,-0.34999999999999964,0.6315000000000001,0.026999999999999913,7.110000000000001,0.09999999999999964,2
4,A1 SH,STUART,2810.0,75.971,0.638,8.7,12.35,3.02,1,0.9109999999999999,3.1542,0.04300000000000015,78.6464,-4.700000000000003,12.515000000000002,-0.9000000000000004,0.6315000000000001,0.04500000000000004,7.110000000000001,-0.8000000000000007,2
5,A1 SH,STUART,2810.5,73.955,0.667,6.9,12.25,3.0860000000000003,1,0.889,3.1542,0.06600000000000028,78.6464,-2.0160000000000053,12.515000000000002,-0.09999999999999964,0.6315000000000001,0.029000000000000026,7.110000000000001,-1.799999999999999,2
6,A1 SH,STUART,2811.0,77.962,0.674,6.5,12.45,3.092,1,0.867,3.1542,0.005999999999999783,78.6464,4.007000000000005,12.515000000000002,0.1999999999999993,0.6315000000000001,0.007000000000000006,7.110000000000001,-0.40000000000000036,2
7,A1 SH,STUART,2811.5,83.89399999999999,0.667,6.3,12.65,3.123,1,0.8440000000000001,3.1542,0.03100000000000014,78.6464,5.931999999999988,12.515000000000002,0.20000000000000107,0.6315000000000001,-0.007000000000000006,7.110000000000001,-0.20000000000000018,2
8,A1 SH,STUART,2812.0,84.42399999999999,0.653,6.7,13.05,3.1210000000000004,1,0.8220000000000001,3.1542,-0.0019999999999997797,78.6464,0.5300000000000011,12.515000000000002,0.40000000000000036,0.6315000000000001,-0.014000000000000012,7.110000000000001,0.40000000000000036,2
9,A1 SH,STUART,2812.5,83.16,0.642,7.3,12.95,3.127,1,0.8,3.1542,0.005999999999999339,78.6464,-1.2639999999999958,12.515000000000002,-0.10000000000000142,0.6315000000000001,-0.01100000000000001,7.110000000000001,0.5999999999999996,2
