,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,del_GR,del_ILD_log10,del_DeltaPHI,del_PHIND,del_PE,del_RELPOS,del_del_GR,del_del_ILD_log10,del_del_DeltaPHI,del_del_PHIND,del_del_PE,del_del_RELPOS,Facies
0,A1 SH,STUART,2808.0,66.27600000000001,0.63,3.3,10.65,3.591,1,1.0,21.95199999999997,-0.09000000000000008,6.4,2.599999999999998,-0.5,-0.04400000000000004,-10.657999999999959,0.05200000000000027,-0.5999999999999996,0.7000000000000028,-0.05400000000000116,0.0,2
1,A1 SH,STUART,2808.5,77.252,0.585,6.5,11.95,3.341,1,0.978,16.62299999999999,-0.06399999999999995,6.1000000000000005,2.9499999999999993,-0.5270000000000006,-0.04400000000000004,-18.53299999999996,0.09800000000000009,-3.4000000000000004,-1.2999999999999972,0.13599999999999968,-0.0010000000000000009,3
2,A1 SH,STUART,2809.0,82.899,0.5660000000000001,9.4,13.6,3.0639999999999996,1,0.956,3.419000000000011,0.008000000000000007,3.0,1.3000000000000007,-0.3640000000000003,-0.04500000000000004,-23.550999999999988,0.1359999999999999,-6.800000000000002,-4.199999999999999,0.483000000000001,-0.0010000000000000009,3
3,A1 SH,STUART,2809.5,80.671,0.593,9.5,13.25,2.977,1,0.9329999999999999,-6.927999999999997,0.07199999999999995,-0.7000000000000011,-1.25,-0.043999999999999595,-0.04500000000000004,-10.13500000000002,0.06600000000000006,-5.6,-2.3000000000000007,0.47300000000000075,0.001000000000000112,3
4,A1 SH,STUART,2810.0,75.971,0.638,8.7,12.35,3.02,1,0.9109999999999999,-6.716000000000008,0.07400000000000007,-2.5999999999999996,-1.0,0.10900000000000043,-0.04399999999999993,8.918999999999997,-0.03599999999999992,-1.4999999999999982,1.3499999999999996,0.11599999999999966,0.001000000000000112,2
5,A1 SH,STUART,2810.5,73.955,0.667,6.9,12.25,3.0860000000000003,1,0.889,1.9909999999999997,0.03600000000000003,-2.1999999999999993,0.09999999999999964,0.07200000000000006,-0.04399999999999993,16.655,-0.07400000000000007,1.9999999999999991,1.4000000000000004,-0.07200000000000051,-0.0010000000000000009,1
6,A1 SH,STUART,2811.0,77.962,0.674,6.5,12.45,3.092,1,0.867,9.938999999999993,0.0,-0.6000000000000005,0.40000000000000036,0.03699999999999992,-0.04499999999999993,4.470999999999989,-0.05700000000000005,2.3999999999999995,0.5000000000000018,-0.042999999999999705,-0.0010000000000000009,2
7,A1 SH,STUART,2811.5,83.89399999999999,0.667,6.3,12.65,3.123,1,0.8440000000000001,6.461999999999989,-0.02100000000000002,0.20000000000000018,0.6000000000000014,0.02900000000000036,-0.04499999999999993,-10.672999999999988,-0.025000000000000022,1.6000000000000005,-0.10000000000000142,-0.03300000000000036,0.0009999999999998899,2
8,A1 SH,STUART,2812.0,84.42399999999999,0.653,6.7,13.05,3.1210000000000004,1,0.8220000000000001,-0.7339999999999947,-0.025000000000000022,1.0,0.29999999999999893,0.0039999999999995595,-0.04400000000000004,-11.822999999999979,0.018999999999999906,0.39999999999999947,-1.6000000000000014,-0.003000000000001002,0.0009999999999998899,2
9,A1 SH,STUART,2812.5,83.16,0.642,7.3,12.95,3.127,1,0.8,-5.36099999999999,-0.002000000000000113,0.5999999999999996,-1.0,0.025999999999999357,-0.04400000000000004,-13.424000000000007,0.06000000000000005,-2.0999999999999996,-2.4499999999999975,-0.034999999999999254,-1.1102230246251565e-16,2
10,A1 SH,STUART,2813.0,79.063,0.6509999999999999,7.3,12.05,3.147,1,0.778,-14.158000000000001,0.03500000000000003,-1.0999999999999996,-2.1499999999999986,-0.030999999999999694,-0.04400000000000015,-9.719000000000008,0.04100000000000015,-3.499999999999999,-1.3500000000000014,-0.06999999999999895,-0.0010000000000000009,3
11,A1 SH,STUART,2813.5,69.002,0.677,6.2,10.8,3.096,1,0.7559999999999999,-15.079999999999998,0.039000000000000035,-2.8999999999999995,-2.3500000000000014,-0.043999999999999595,-0.04500000000000004,6.953000000000003,-0.03700000000000003,-1.6000000000000005,0.4999999999999982,0.03600000000000003,-0.0009999999999997788,2
12,A1 SH,STUART,2814.0,63.983000000000004,0.69,4.4,9.7,3.103,1,0.733,-7.204999999999998,-0.0020000000000000018,-2.7,-1.6500000000000004,0.0050000000000003375,-0.04499999999999993,12.468999999999994,-0.08300000000000007,1.299999999999999,1.9500000000000028,0.005999999999999339,0.001000000000000112,2
13,A1 SH,STUART,2814.5,61.797,0.675,3.5,9.15,3.1010000000000004,1,0.711,-2.611000000000004,-0.04400000000000004,-1.6000000000000005,-0.3999999999999986,-0.038000000000000256,-0.04399999999999993,8.942999999999998,-0.052000000000000046,2.0,2.3000000000000007,-0.124000000000001,0.0010000000000000009,1
14,A1 SH,STUART,2815.0,61.372,0.6459999999999999,2.8,9.3,3.065,1,0.6890000000000001,1.7379999999999995,-0.05400000000000005,-0.7000000000000002,0.6500000000000004,-0.11900000000000066,-0.04399999999999993,6.365000000000009,-0.0019999999999998908,2.1000000000000005,1.6499999999999986,-0.11299999999999999,-0.001000000000000112,1
15,A1 SH,STUART,2815.5,63.535,0.621,2.8,9.8,2.9819999999999998,1,0.667,3.754000000000005,-0.04599999999999993,0.5,1.25,-0.15100000000000025,-0.04500000000000004,10.65700000000001,0.009000000000000119,1.3000000000000003,1.4499999999999993,-0.017999999999998906,-0.02300000000000013,2
16,A1 SH,STUART,2816.0,65.126,0.6,3.3,10.55,2.9139999999999997,1,0.644,12.39500000000001,-0.04499999999999993,0.6000000000000001,2.0999999999999996,-0.13699999999999957,-0.06700000000000006,16.197000000000003,0.029999999999999916,0.6000000000000005,1.0999999999999996,0.09100000000000019,-0.02100000000000002,2
17,A1 SH,STUART,2816.5,75.93,0.5760000000000001,3.4,11.9,2.845,1,0.6,19.951000000000008,-0.016000000000000014,1.1000000000000005,2.3499999999999996,-0.06000000000000005,-0.06600000000000006,1.1339999999999861,0.06699999999999984,2.5999999999999996,-0.5,0.2779999999999996,0.02300000000000013,2
18,A1 SH,STUART,2817.0,85.07700000000001,0.584,4.4,12.9,2.8539999999999996,1,0.578,13.528999999999996,0.02199999999999991,3.1999999999999997,1.5999999999999996,0.14100000000000001,-0.04399999999999993,-16.40900000000002,0.04200000000000004,1.6999999999999993,-0.4499999999999993,0.1940000000000004,0.02100000000000002,2
