Depth,Well Name,Formation,Facies,GR_GLCM_energy_asym_wsize=3,GR_GLCM_energy_asym_wsize=5,DeltaPHI,NM_M,GR,GR_GLCM_correlation_asym_wsize=3,GR_GLCM_energy_wsize=5,GR_std_wsize=ave,ILD_log10_GLCM_energy_asym_wsize=3,ILD_log10_GLCM_energy_asym_wsize=5,ILD_log10_GLCM_correlation_asym_wsize=3,ILD_log10_GLCM_correlation_asym_wsize=5,PE_std_wsize=5,ILD_log10_GLCM_correlation_wsize=3,RELPOS,DeltaPHI_GLCM_energy_asym_wsize=3,DeltaPHI_GLCM_energy_asym_wsize=5,DeltaPHI_GLCM_correlation_asym_wsize=3,DeltaPHI_GLCM_correlation_wsize=5,PHIND_GLCM_energy_asym_wsize=3,PHIND_GLCM_energy_asym_wsize=5,PE_GLCM_dissimilarity_wsize=3,PHIND_mean_wsize=3,PHIND_mean_wsize=5,PHIND_mean_wsize=17,PE_skew_wsize=9,PHIND_std_wsize=ave,PE_GLCM_energy_asym_wsize=3,PE_GLCM_energy_asym_wsize=5,PE_GLCM_energy_wsize=3,PE_GLCM_energy_wsize=5,ILD_log10_GLCM_correlation_asym_wsize=ave,PHIND_GLCM_energy_wsize=3,PE_mean_wsize=65,PHIND_GLCM_correlation_asym_wsize=3,PE_GLCM_correlation_asym_wsize=3,PE_std_wsize=129,GR_GLCM_dissimilarity_asym_wsize=3,GR_GLCM_dissimilarity_asym_wsize=9,GR_GLCM_dissimilarity_asym_wsize=ave
2793.0,SHRIMPLIN,A1 SH,3,0.707106781187,0.612372435696,9.9,1,77.45,1.0,0.586301969978,0.136423296738,0.707106781187,0.612372435696,1.0,0.970713676233,0.505803065212,1.0,1.0,0.707106781187,0.612372435696,1.0,0.507389162562,0.707106781187,0.612372435696,3.5,-0.149944071344,-0.130267457551,-0.0819680651939,-0.516556574145,0.182902136568,0.707106781187,0.612372435696,0.612372435696,0.559016994375,0.95266880454,0.612372435696,0.266015352259,1.0,1.0,0.882062153901,3.5,4.125,3.32142857143
2793.5,SHRIMPLIN,A1 SH,3,0.707106781187,0.5,14.2,1,78.26,1.0,0.433012701892,0.15750364766,0.707106781187,0.5,1.0,0.776967845633,0.595259511455,1.0,0.979,0.707106781187,0.5,1.0,0.509025270758,0.707106781187,0.5,14.5,-0.0968966683645,-0.0966162415646,-0.0629567777308,-0.0625783679073,0.191496658932,0.707106781187,0.5,0.5,0.395284707521,0.92456504427,0.5,0.238779802594,1.0,1.0,0.886728535286,14.5,4.625,5.07924107143
2794.0,SHRIMPLIN,A1 SH,3,0.707106781187,0.5,14.8,1,79.05,1.0,0.395284707521,0.182615934615,0.707106781187,0.5,1.0,0.794688432838,0.568887930162,-0.333333333333,0.957,0.707106781187,0.5,1.0,-0.065274151436,0.707106781187,0.5,12.0,-0.0408113083865,-0.0577771297799,-0.0509149210296,0.358176885563,0.192946973884,0.707106781187,0.5,0.5,0.353553390593,0.925141631492,0.5,0.215435045738,1.0,1.0,0.897488511468,12.0,4.875,4.87053571429
2794.5,SHRIMPLIN,A1 SH,3,0.707106781187,0.5,13.9,1,86.1,1.0,0.395284707521,0.19820621143,0.707106781187,0.5,1.0,0.459967659661,0.305582084527,-0.333333333333,0.936,0.707106781187,0.5,1.0,-0.333333333333,0.707106781187,0.5,2.0,-0.0064590254,-0.016554390196,-0.0445228395615,0.854356660957,0.18933756513,0.707106781187,0.5,0.5,0.353553390593,0.870363224995,0.612372435696,0.215435045738,1.0,1.0,0.909875728487,2.0,5.375,3.5078125
2795.0,SHRIMPLIN,A1 SH,3,0.707106781187,0.5,13.5,1,74.58,-1.0,0.395284707521,0.20996997243,0.707106781187,0.5,-1.0,0.134839972493,0.128954984978,-0.333333333333,0.915,0.707106781187,0.5,-1.0,-0.333333333333,0.707106781187,0.5,3.0,0.00919813759386,0.0217238679889,-0.0399040452104,1.46027369415,0.188666342536,0.707106781187,0.5,0.5,0.353553390593,0.529378680563,0.612372435696,0.205708063715,-1.0,-1.0,0.918511195511,3.0,5.625,3.04241071429
2795.5,SHRIMPLIN,A1 SH,3,0.707106781187,0.5,14.0,1,73.97,1.0,0.395284707521,0.192890751326,0.707106781187,0.5,1.0,0.0,0.128954984978,0.0,0.894,0.707106781187,0.5,1.0,0.466666666667,0.707106781187,0.5,3.0,0.0472894445789,0.0461209995794,-0.0150367863378,1.59753284419,0.192716055556,0.707106781187,0.5,0.5,0.353553390593,0.725718104884,0.5,0.184308703263,1.0,1.0,0.925478046709,3.0,5.0,3.09709821429
2796.0,SHRIMPLIN,A1 SH,3,0.707106781187,0.5,15.6,1,73.72,-1.0,0.467707173347,0.188550071331,0.707106781187,0.5,-1.0,0.0,0.147465667076,0.0,0.872,0.707106781187,0.5,-1.0,0.466666666667,0.707106781187,0.5,3.0,0.0762668805676,0.0703779177699,0.0232332240001,0.0883883476483,0.197372091534,0.707106781187,0.5,0.5,0.353553390593,0.402980032028,0.612372435696,0.157073153598,-1.0,-1.0,0.932342345163,3.0,2.5,2.81138392857
2796.5,SHRIMPLIN,A1 SH,3,0.707106781187,0.5,16.5,1,75.65,1.0,0.467707173347,0.194087325019,0.707106781187,0.5,1.0,0.307793505626,0.128954984978,-0.333333333333,0.83,0.707106781187,0.5,1.0,0.0,0.707106781187,0.5,3.0,0.104075871557,0.0961771833597,0.05659576534,0.145053505431,0.197225708836,0.707106781187,0.5,0.5,0.433012701892,0.752992357341,1.0,0.129837603933,1.0,1.0,0.937749656518,3.0,2.5,2.77566964286
2797.0,SHRIMPLIN,A1 SH,3,0.707106781187,0.5,16.2,1,73.79,-1.0,0.433012701892,0.190368094449,0.707106781187,0.5,-1.0,0.0,0.128954984978,-0.333333333333,0.809,0.707106781187,0.5,-1.0,-0.333333333333,0.707106781187,0.5,2.0,0.117629833551,0.0958967565599,0.0830301151531,0.145053505431,0.201856624517,0.707106781187,0.5,0.707106781187,0.433012701892,0.392413645571,0.612372435696,0.104547450672,-1.0,-1.0,0.949227249958,2.0,2.75,2.67745535714
2797.5,SHRIMPLIN,A1 SH,3,0.707106781187,0.5,16.9,1,76.89,1.0,0.353553390593,0.20248436349,0.707106781187,0.5,1.0,0.632455532034,0.128954984978,-0.0526315789474,0.787,0.707106781187,0.5,1.0,-0.0434782608696,0.707106781187,0.5,2.0,0.0921577325613,0.0611238333735,0.11004181426,0.145053505431,0.214128859828,0.707106781187,0.5,0.5,0.433012701892,0.774288425746,0.5,0.0792572974117,1.0,1.0,0.960467673752,2.0,2.5,2.52566964286
